window,t_start,t_end,action,dominance,window_age_ms,ingestion_latency_ms,decode_time_us,interval_ms,up,down,total_spikes_so_far
1,0.1777,0.1877,HOLD,-1.0,31.5593,0.1329,72.42,,0,1,2
2,0.1877,0.19770000000000001,HOLD,-0.5,21.5961,,7.5,0.1017,0,0,2
3,0.19770000000000001,0.20770000000000002,HOLD,-0.3333,11.6052,,3.29,0.0133,0,0,2
4,0.20770000000000002,0.21770000000000003,HOLD,0.0,1.6117,,2.71,0.007,0,0,2
5,0.21770000000000003,0.22770000000000004,HOLD,0.0,-8.3785,,6.88,0.0057,0,0,2
6,0.22770000000000004,0.23770000000000005,HOLD,0.0,-18.3734,,2.25,0.0098,0,0,2
7,0.23770000000000005,0.24770000000000006,HOLD,0.3333,14.2805,0.046,9.17,42.6469,1,0,4
8,0.24770000000000006,0.25770000000000004,HOLD,0.3333,4.2889,,2.46,0.0152,0,0,4
9,0.25770000000000004,0.26770000000000005,HOLD,0.0,-5.7056,,2.29,0.0057,0,1,4
10,0.26770000000000005,0.27770000000000006,HOLD,-0.3333,-15.7006,,2.25,0.005,0,0,4
11,0.27770000000000006,0.28770000000000007,HOLD,-0.3333,-25.6962,,2.08,0.0045,0,0,4
12,0.28770000000000007,0.2977000000000001,HOLD,-0.3333,7.4025,0.0509,15.96,43.0848,0,1,5
13,0.2977000000000001,0.3077000000000001,HOLD,-0.3333,-2.5834,,3.33,0.0268,0,0,5
14,0.3077000000000001,0.3177000000000001,HOLD,-0.3333,-12.5773,,2.33,0.0071,0,0,5
15,0.3177000000000001,0.3277000000000001,HOLD,0.3333,104.0839,0.0734,14.54,126.649,1,0,7
16,0.3277000000000001,0.3377000000000001,HOLD,0.3333,94.0941,,3.04,0.0217,0,0,7
17,0.3377000000000001,0.3477000000000001,HOLD,0.3333,84.1066,,2.25,0.0133,0,0,7
18,0.3477000000000001,0.35770000000000013,HOLD,0.0,74.112,,2.37,0.0053,0,0,7
19,0.35770000000000013,0.36770000000000014,HOLD,0.0,64.1213,,2.21,0.0094,0,0,7
20,0.36770000000000014,0.37770000000000015,HOLD,0.0,54.1258,,2.04,0.0046,0,0,7
21,0.37770000000000015,0.38770000000000016,HOLD,0.0,44.13,,2.0,0.0042,0,0,7
22,0.38770000000000016,0.39770000000000016,HOLD,0.0,34.1342,,1.96,0.0043,0,0,7
