window,t_start,t_end,action,dominance,window_age_ms,ingestion_latency_ms,decode_time_us,interval_ms,up,down,total_spikes_so_far
1,0.2202,0.23020000000000002,HOLD,-1.0,36.4306,0.167,58.5,,0,1,13
2,0.23020000000000002,0.24020000000000002,HOLD,-0.5,26.4593,,8.54,0.0787,0,0,13
3,0.24020000000000002,0.25020000000000003,HOLD,-1.0,16.4729,,5.67,0.0165,0,2,13
4,0.25020000000000003,0.26020000000000004,HOLD,-1.0,6.4834,,4.79,0.0113,0,1,13
5,0.26020000000000004,0.27020000000000005,HOLD,-1.3333,39.0156,0.15,36.54,42.5005,0,1,16
6,0.27020000000000005,0.28020000000000006,HOLD,-0.3333,29.0566,,14.67,0.0628,1,0,16
7,0.28020000000000006,0.29020000000000007,HOLD,-0.3333,19.0842,,12.21,0.0301,0,1,16
8,0.29020000000000007,0.3002000000000001,HOLD,0.0,9.1074,,10.96,0.0244,0,0,16
9,0.3002000000000001,0.3102000000000001,HOLD,-0.3333,42.1176,0.1228,34.62,42.9866,0,0,17
10,0.3102000000000001,0.3202000000000001,HOLD,-0.3333,32.1548,,13.38,0.0585,0,1,17
11,0.3202000000000001,0.3302000000000001,HOLD,-0.6667,22.1812,,11.13,0.0286,0,1,17
12,0.3302000000000001,0.3402000000000001,HOLD,-0.6667,12.2059,,12.83,0.023,0,0,17
13,0.3402000000000001,0.3502000000000001,HOLD,-0.6667,2.2536,,12.0,0.0485,0,1,17
14,0.3502000000000001,0.36020000000000013,HOLD,-0.3333,33.8891,0.0657,17.58,41.6299,0,0,19
15,0.36020000000000013,0.37020000000000014,HOLD,-0.3333,23.9045,,5.17,0.0278,0,0,19
16,0.37020000000000014,0.38020000000000015,HOLD,-0.3333,13.9147,,4.46,0.0109,0,1,19
17,0.38020000000000015,0.39020000000000016,HOLD,-0.3333,3.9237,,4.25,0.0092,0,0,19
18,0.39020000000000016,0.40020000000000017,HOLD,-0.6667,37.0666,0.0467,16.83,43.1303,0,1,20
19,0.40020000000000017,0.4102000000000002,HOLD,-0.3333,27.0749,,2.33,0.0228,0,0,20
20,0.4102000000000002,0.4202000000000002,HOLD,-0.3333,17.0797,,1.79,0.0053,0,0,20
21,0.4202000000000002,0.4302000000000002,HOLD,-0.3333,7.0832,,1.63,0.0037,0,1,20
22,0.4302000000000002,0.4402000000000002,HOLD,0.0,39.9948,0.0803,17.54,42.8956,1,0,22
23,0.4402000000000002,0.4502000000000002,HOLD,0.3333,30.0111,,5.04,0.0289,1,0,22
24,0.4502000000000002,0.4602000000000002,HOLD,0.6667,20.0212,,3.87,0.0113,0,0,22
25,0.4602000000000002,0.47020000000000023,HOLD,0.6667,10.0288,,3.54,0.0079,1,0,22
26,0.47020000000000023,0.48020000000000024,HOLD,0.0,42.0032,0.1123,24.83,41.9531,0,1,25
27,0.48020000000000024,0.49020000000000025,HOLD,0.0,32.0273,,8.75,0.0402,0,0,25
28,0.49020000000000025,0.5002000000000002,HOLD,-0.3333,22.0475,,6.83,0.0221,0,0,25
29,0.5002000000000002,0.5102000000000002,HOLD,0.0,12.0597,,6.04,0.013,0,0,25
30,0.5102000000000002,0.5202000000000002,HOLD,-0.3333,2.0721,,6.04,0.0124,0,1,25
31,0.5202000000000002,0.5302000000000002,HOLD,-0.3333,35.2443,0.1463,28.67,43.1495,0,0,28
32,0.5302000000000002,0.5402000000000002,HOLD,0.0,25.2783,,13.13,0.0496,1,0,28
33,0.5402000000000002,0.5502000000000002,HOLD,0.3333,15.3238,,27.46,0.0311,0,0,28
34,0.5502000000000002,0.5602000000000003,HOLD,0.0,5.3483,,10.71,0.0413,0,1,28
35,0.5602000000000003,0.5702000000000003,HOLD,-0.3333,38.0794,0.1117,41.21,42.7006,0,0,30
36,0.5702000000000003,0.5802000000000003,HOLD,-0.3333,28.1114,,11.96,0.0612,0,0,30
37,0.5802000000000003,0.5902000000000003,HOLD,0.0,18.1358,,11.25,0.0251,0,0,30
38,0.5902000000000003,0.6002000000000003,HOLD,0.0,8.157,,9.92,0.0226,0,0,30
39,0.6002000000000003,0.6102000000000003,HOLD,0.0,40.6653,0.1453,35.04,42.4831,0,0,32
40,0.6102000000000003,0.6202000000000003,HOLD,0.0,30.7063,,14.92,0.0611,0,0,32
41,0.6202000000000003,0.6302000000000003,HOLD,-0.3333,20.7342,,13.04,0.0297,0,1,32
42,0.6302000000000003,0.6402000000000003,HOLD,-0.6667,10.7707,,11.63,0.0379,0,1,32
43,0.6402000000000003,0.6502000000000003,HOLD,-0.6667,0.7942,,10.92,0.0242,1,1,32
44,0.6502000000000003,0.6602000000000003,HOLD,0.0,41.9184,,24.87,51.1103,1,0,32
45,0.6602000000000003,0.6702000000000004,HOLD,0.3333,31.9458,,10.75,0.0415,0,0,32
46,0.6702000000000004,0.6802000000000004,HOLD,0.3333,21.9633,,8.29,0.02,0,0,32
47,0.6802000000000004,0.6902000000000004,HOLD,0.0,11.9797,,7.83,0.0168,1,1,32
48,0.6902000000000004,0.7002000000000004,HOLD,-0.3333,1.9952,,7.88,0.0155,0,1,32
49,0.7002000000000004,0.7102000000000004,HOLD,-0.3333,26.2485,0.1003,25.88,34.2353,0,0,34
50,0.7102000000000004,0.7202000000000004,HOLD,-0.3333,16.2786,,9.46,0.0465,0,0,34
51,0.7202000000000004,0.7302000000000004,HOLD,0.0,6.3559,,9.92,0.0769,0,0,34
52,0.7302000000000004,0.7402000000000004,HOLD,0.0,39.0197,0.1215,35.83,42.6379,1,1,35
53,0.7402000000000004,0.7502000000000004,HOLD,0.0,29.0455,,6.37,0.0553,0,0,35
54,0.7502000000000004,0.7602000000000004,HOLD,0.0,19.0721,,5.83,0.0271,0,0,35
55,0.7602000000000004,0.7702000000000004,HOLD,-0.3333,9.0836,,5.71,0.0117,0,1,35
56,0.7702000000000004,0.7802000000000004,HOLD,-0.3333,41.1467,0.0792,22.21,42.0466,0,0,36
57,0.7802000000000004,0.7902000000000005,HOLD,-0.6667,31.1667,,6.79,0.0354,0,1,36
58,0.7902000000000005,0.8002000000000005,HOLD,-0.3333,21.1807,,6.83,0.014,0,0,36
59,0.8002000000000005,0.8102000000000005,HOLD,-0.3333,11.1925,,5.54,0.013,0,0,36
60,0.8102000000000005,0.8202000000000005,HOLD,0.0,1.2035,,5.21,0.0114,0,0,36
61,0.8202000000000005,0.8302000000000005,HOLD,0.0,33.457,0.0765,22.75,42.2359,0,0,37
62,0.8302000000000005,0.8402000000000005,HOLD,0.0,23.4783,,9.58,0.0345,0,0,37
63,0.8402000000000005,0.8502000000000005,HOLD,0.0,13.4885,,4.08,0.0157,0,0,37
64,0.8502000000000005,0.8602000000000005,HOLD,0.3333,3.4974,,4.46,0.0085,1,0,37
65,0.8602000000000005,0.8702000000000005,HOLD,0.3333,44.6234,,29.04,51.1014,0,0,37
66,0.8702000000000005,0.8802000000000005,HOLD,0.3333,34.6561,,12.5,0.0492,0,0,37
67,0.8802000000000005,0.8902000000000005,HOLD,0.3333,24.6793,,11.0,0.0247,1,0,37
